#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	200...1200
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic Range
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60,1
#Instrument=	XploRA Plus
#Detector=	Syncerity OE
#Objective=	x50_VIS_LWD
#Grating=	2400 (400nm)
#Filter=	1%
#Laser=	532nm_Edge
#Slit (µm)=	50 
#Hole (µm)=	100 
#Temperature=	0
#Laser pol=	Circular
#Raman pol=	None
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	433,65
#Full time(s)=	52
#Project=	A
#Sample=	B
#Site=	C
#Title=	D_1
#Remark=	
#Date=	27.09.2024 13:51
#Acquired=	27.09.2024 13:51:11
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
202,268	26
203,409	31
204,547	32
205,687	30
206,825	30
207,965	26
209,103	28
210,241	30
211,378	28
212,516	25
213,653	28
214,79	30
215,927	33
217,064	35
218,2	30
219,337	32
220,471	30
221,607	33
222,743	35
223,877	31
225,011	26
226,146	34
227,28	30
228,413	32
229,548	26
230,681	33
231,814	26
232,947	29
234,08	32
235,21	34
236,342	30
237,475	30
238,607	38
239,736	32
240,868	24
241,998	29
243,129	36
244,258	32
245,39	28
246,519	32
247,647	30
248,776	30
249,905	34
251,033	26
252,161	34
253,29	26
254,418	30
255,543	31
256,671	33
257,799	29
258,924	30
260,051	31
261,177	36
262,304	29
263,428	35
264,553	30
265,678	31
266,802	32
267,926	34
269,05	35
270,174	36
271,298	34
272,422	24
273,546	28
274,667	28
275,79	30
276,914	30
278,035	36
279,157	33
280,278	29
281,399	34
282,519	28
283,641	35
284,762	30
285,882	33
287,001	38
288,121	34
289,239	34
290,358	30
291,478	34
292,597	36
293,714	33
294,833	29
295,949	32
297,068	26
298,184	40
299,301	29
300,417	32
301,533	33
302,651	32
303,767	39
304,88	34
305,996	33
307,111	34
308,226	36
309,341	30
310,454	32
311,569	32
312,682	32
313,796	34
314,909	36
316,021	32
317,135	33
318,247	36
319,359	36
320,47	28
321,582	34
322,693	30
323,804	30
324,913	29
326,024	31
327,135	30
328,244	29
329,355	29
330,463	34
331,573	31
332,681	36
333,789	35
334,899	34
336,007	33
337,115	32
338,222	32
339,329	32
340,437	30
341,542	37
342,648	32
343,755	34
344,86	27
345,966	30
347,071	38
348,177	35
349,281	36
350,385	32
351,491	28
352,594	37
353,698	28
354,801	32
355,904	34
357,008	32
358,109	34
359,211	32
360,314	32
361,415	34
362,517	36
363,619	32
364,72	36
365,82	38
366,921	32
368,021	32
369,121	34
370,22	32
371,32	39
372,419	34
373,518	32
374,617	42
