Relative Pressure (P/Po)	Absolute Pressure (mmHg)	Quantity Adsorbed (cm³/g STP)
		
0,061392008	43,82338715	3,949598409
0,079867906	57,0120163	4,080201475
0,120283947	85,8621521	4,288604875
0,139984624	99,92506409	4,364118162
0,159904362	114,1443481	4,449891126
0,199800293	142,6232147	4,630128531
0,299737751	213,9614563	5,143848471
0,350432675	250,1489563	5,437635508
0,450347967	321,4713745	5,961486829
0,550058861	392,6478882	6,506671211
0,733124863	523,3256836	8,647499521
0,838866947	598,8074341	11,7244395
0,90387266	645,2103882	16,18207746
0,940014734	671,0096436	21,31636146
0,963231952	687,5827637	27,87100865
0,977272634	697,6054077	34,96896853
0,984401864	702,694458	41,33001315
0,98717125	704,6713257	44,96131296
0,970507565	692,7763062	41,63435024
0,956430202	682,727478	35,21440624
0,93532664	667,663147	27,19069292
0,901852288	643,7681885	19,73691918
0,843877732	602,3842773	13,76842071
0,728482856	520,012085	9,309100009
0,550664271	393,0800476	6,884614943
0,330642369	236,0220642	5,502672646
0,137645376	98,25524139	4,461516288
