'y-axis saved as y
'x,MoS2_Up.raw
35.4247363,282
35.4647123,326
35.5046883,308
35.5446643,358
35.5846403,381
35.6246163,467
35.6645923,508
35.7045683,674
35.7445443,862
35.7845203,1337
35.8244963,1614
35.8644723,1454
35.9044483,1214
35.9444243,936
35.9844003,663
36.0243763,474
36.0643523,388
36.1043283,350
36.1443043,289
36.1842803,286
36.2242563,275
36.2642323,224
36.3042083,215
36.3441843,219
36.3841603,194
36.4241363,220
36.4641123,200
36.5040883,209
36.5440643,207
36.5840403,205
36.6240163,205
36.6639923,187
36.7039683,185
36.7439443,169
36.7839203,201
36.8238963,180
36.8638723,187
36.9038483,218
36.9438243,211
36.9838003,196
37.0237763,169
37.0637523,157
37.1037283,182
37.1437043,180
37.1836803,193
37.2236563,174
37.2636323,185
37.3036083,171
37.3435843,178
37.3835603,206
37.4235363,192
37.4635123,188
37.5034883,182
37.5434643,204
37.5834403,174
37.6234163,188
37.6633923,201
37.7033683,213
37.7433443,216
37.7833203,187
37.8232963,178
37.8632723,204
37.9032483,205
37.9432243,232
37.9832003,198
38.0231763,243
38.0631523,260
38.1031283,228
38.1431043,263
38.1830803,267
38.2230563,261
38.2630323,254
38.3030083,237
38.3429843,253
38.3829603,268
38.4229363,283
38.4629123,292
38.5028883,288
38.5428643,252
38.5828403,255
38.6228163,343
38.6627923,320
38.7027683,306
38.7427443,316
38.7827203,347
38.8226963,345
38.8626723,387
38.9026483,398
38.9426243,429
38.9826003,450
39.0225763,475
39.0625523,546
39.1025283,607
39.1425043,659
39.1824803,781
39.2224563,951
39.2624323,1165
39.3024083,1502
39.3423843,1918
39.3823603,2728
39.4223363,4095
39.4623123,6195
39.5022883,7715
39.5422643,6686
39.5822403,5775
39.6222163,4609
39.6621923,3091
39.7021683,2166
39.7421443,1543
39.7821203,1197
39.8220963,970
39.8620723,744
39.9020483,703
39.9420243,555
39.9820003,542
40.0219763,513
40.0619523,429
40.1019283,390
40.1419043,376
40.1818803,347
40.2218563,341
40.2618323,343
40.3018083,324
40.3417843,305
40.3817603,322
40.4217363,290
40.4617123,275
40.5016883,323
40.5416643,249
40.5816403,286
40.6216163,284
40.6615923,296
40.7015683,277
40.7415443,227
40.7815203,232
40.8214963,252
40.8614723,228
40.9014483,275
40.9414243,232
40.9814003,230
41.0213763,207
41.0613523,216
41.1013283,202
41.1413043,219
41.1812803,217
41.2212563,201
41.2612323,204
41.3012083,211
41.3411843,196
41.3811603,204
41.4211363,218
41.4611123,198
41.5010883,177
41.5410643,201
41.5810403,199
41.6210163,192
41.6609923,183
41.7009683,220
41.7409443,180
41.7809203,173
41.8208963,211
41.8608723,188
41.9008483,168
41.9408243,178
41.9808003,198
42.0207763,156
42.0607523,170
42.1007283,181
42.1407043,175
42.1806803,170
42.2206563,180
42.2606323,173
42.3006083,189
42.3405843,186
42.3805603,181
42.4205363,181
42.4605123,166
42.5004883,197
42.5404643,181
42.5804403,176
42.6204163,177
42.6603923,177
42.7003684,192
42.7403444,174
42.7803204,164
42.8202964,180
42.8602724,178
42.9002484,161
42.9402244,179
42.9802004,164
43.0201764,159
43.0601524,158
43.1001284,194
43.1401044,189
43.1800804,185
43.2200564,197
43.2600324,205
43.3000084,202
43.3399844,182
43.3799604,172
43.4199364,204
43.4599124,196
43.4998884,177
43.5398644,183
43.5798404,188
43.6198164,188
43.6597924,222
43.6997684,215
43.7397444,194
43.7797204,223
43.8196964,281
43.8596724,286
43.8996484,329
43.9396244,366
43.9796004,487
44.0195764,677
44.0595524,854
44.0995284,958
44.1395044,882
44.1794804,761
44.2194564,779
44.2594324,604
44.2994084,461
44.3393844,349
44.3793604,306
44.4193364,297
44.4593124,253
44.4992884,236
44.5392644,232
44.5792404,221
44.6192164,196
44.6591924,202
44.6991684,204
44.7391444,188
44.7791204,162
44.8190964,203
44.8590724,180
44.8990484,195
44.9390244,185
44.9790004,161
45.0189764,176
45.0589524,171
45.0989284,173
45.1389044,155
45.1788804,180
45.2188564,170
45.2588324,167
45.2988084,146
45.3387844,152
45.3787604,180
45.4187364,175
45.4587124,161
45.4986884,167
45.5386644,146
45.5786404,193
45.6186164,169
45.6585924,152
45.6985684,170
45.7385444,153
45.7785204,150
45.8184964,159
45.8584724,126
45.8984484,139
45.9384244,131
45.9784004,167
46.0183764,173
46.0583524,150
46.0983284,162
46.1383044,166
46.1782804,155
46.2182564,151
46.2582324,142
46.2982084,165
46.3381844,164
46.3781604,147
46.4181364,154
46.4581124,178
46.4980884,167
46.5380644,142
46.5780404,157
46.6180164,157
46.6579924,137
46.6979684,140
46.7379444,157
46.7779204,146
46.8178964,170
46.8578724,142
46.8978484,154
46.9378244,140
46.9778004,156
47.0177764,148
47.0577524,143
47.0977284,154
47.1377044,148
47.1776804,141
47.2176564,184
47.2576324,163
47.2976084,160
47.3375844,153
47.3775604,144
47.4175364,160
47.4575124,172
47.4974884,167
47.5374644,154
47.5774404,169
47.6174164,179
47.6573924,147
47.6973684,141
47.7373444,172
47.7773204,182
47.8172964,178
47.8572724,165
47.8972484,175
47.9372244,196
47.9772004,171
48.0171764,154
48.0571524,208
48.0971284,163
48.1371044,195
48.1770804,201
48.2170564,172
48.2570324,180
48.2970084,201
48.3369844,177
48.3769604,193
48.4169364,186
48.4569124,195
48.4968884,187
48.5368644,205
48.5768404,211
48.6168164,187
48.6567924,220
48.6967684,194
48.7367444,218
48.7767204,211
48.8166964,231
48.8566724,214
48.8966484,219
48.9366244,213
48.9766004,229
49.0165764,259
49.0565524,243
49.0965284,261
49.1365044,323
49.1764804,284
49.2164564,313
49.2564324,376
49.2964084,346
49.3363844,415
49.3763604,472
49.4163364,491
49.4563124,624
49.4962884,698
49.5362644,811
49.5762404,1010
49.6162164,1341
49.6561924,1740
49.6961684,2452
49.7361444,2934
49.7761204,2825
49.8160964,2513
49.8560724,2177
49.8960484,1999
49.9360244,1464
49.9760004,1049
50.0159764,834
50.0559524,687
50.0959284,531
50.1359044,494
50.1758804,392
50.2158564,379
50.2558324,336
50.2958084,290
50.3357844,328
50.3757604,274
50.4157364,250
50.4557124,216
50.4956884,205
50.5356644,229
50.5756404,191
50.6156164,207
50.6555924,191
50.6955684,196
50.7355444,201
50.7755204,193
50.8154964,190
50.8554724,174
50.8954484,185
50.9354244,146
50.9754004,182
51.0153764,148
51.0553524,144
51.0953284,170
51.1353044,163
51.1752804,158
51.2152564,163
51.2552324,165
51.2952084,151
51.3351844,135
51.3751604,157
51.4151364,151
51.4551124,171
51.4950884,140
51.5350644,155
51.5750404,163
51.6150164,149
51.6549924,166
51.6949684,139
51.7349444,155
51.7749204,134
51.8148964,144
51.8548724,135
51.8948484,131
51.9348244,127
51.9748004,152
52.0147764,129
52.0547525,136
52.0947285,125
52.1347045,121
52.1746805,150
52.2146565,149
52.2546325,140
52.2946085,139
52.3345845,136
52.3745605,143
52.4145365,120
52.4545125,163
52.4944885,143
52.5344645,126
52.5744405,127
52.6144165,141
52.6543925,153
52.6943685,117
52.7343445,121
52.7743205,144
52.8142965,151
52.8542725,144
52.8942485,139
52.9342245,134
52.9742005,110
53.0141765,129
53.0541525,135
53.0941285,139
53.1341045,110
53.1740805,132
53.2140565,123
53.2540325,142
53.2940085,137
53.3339845,144
53.3739605,141
53.4139365,140
53.4539125,142
53.4938885,109
53.5338645,129
53.5738405,142
53.6138165,132
53.6537925,123
53.6937685,129
53.7337445,116
53.7737205,119
53.8136965,125
53.8536725,129
53.8936485,107
53.9336245,133
53.9736005,107
54.0135765,86
54.0535525,131
54.0935285,141
54.1335045,132
54.1734805,123
54.2134565,120
54.2534325,120
54.2934085,127
54.3333845,133
54.3733605,154
54.4133365,148
54.4533125,123
54.4932885,140
54.5332645,128
54.5732405,137
54.6132165,133
54.6531925,133
54.6931685,131
54.7331445,138
54.7731205,144
54.8130965,156
54.8530725,138
54.8930485,138
54.9330245,135
54.9730005,137
55.0129765,129
55.0529525,132
55.0929285,123
55.1329045,126
55.1728805,128
55.2128565,109
55.2528325,119
55.2928085,150
55.3327845,142
55.3727605,119
55.4127365,145
55.4527125,170
55.4926885,143
55.5326645,173
55.5726405,159
55.6126165,161
55.6525925,184
55.6925685,214
55.7325445,190
55.7725205,227
55.8124965,295
55.8524725,328
55.8924485,335
55.9324245,395
55.9724005,401
56.0123765,381
56.0523525,361
56.0923285,336
56.1323045,288
56.1722805,250
56.2122565,216
56.2522325,218
56.2922085,194
56.3321845,135
56.3721605,181
56.4121365,171
56.4521125,184
56.4920885,145
56.5320645,162
56.5720405,149
56.6120165,146
56.6519925,165
56.6919685,155
56.7319445,139
56.7719205,153
56.8118965,150
56.8518725,139
56.8918485,122
56.9318245,146
56.9718005,134
57.0117765,149
57.0517525,134
57.0917285,135
57.1317045,151
57.1716805,142
57.2116565,147
57.2516325,152
57.2916085,132
57.3315845,147
57.3715605,133
57.4115365,121
57.4515125,124
57.4914885,149
57.5314645,158
57.5714405,157
57.6114165,152
57.6513925,149
57.6913685,146
57.7313445,173
57.7713205,175
57.8112965,159
57.8512725,182
57.8912485,174
57.9312245,198
57.9712005,212
58.0111765,255
58.0511525,295
58.0911285,361
58.1311045,421
58.1710805,583
58.2110565,1002
58.2510325,1769
58.2910085,2531
58.3309845,1683
58.3709605,1110
58.4109365,1267
58.4509125,1462
58.4908885,877
58.5308645,545
58.5708405,385
58.6108165,283
58.6507925,247
58.6907685,224
58.7307445,196
58.7707205,201
58.8106965,194
58.8506725,162
58.8906485,153
58.9306245,177
58.9706005,163
59.0105765,152
59.0505525,152
59.0905285,153
59.1305045,167
59.1704805,169
59.2104565,184
59.2504325,187
59.2904085,171
59.3303845,170
59.3703605,154
59.4103365,170
59.4503125,159
59.4902885,167
59.5302645,191
59.5702405,161
59.6102165,191
59.6501925,193
59.6901685,215
59.7301445,213
59.7701205,232
59.8100965,263
59.8500725,279
59.8900485,317
59.9300245,396
59.9700005,464
60.0099765,533
60.0499525,690
60.0899285,870
60.1299045,784
60.1698805,688
60.2098565,786
60.2498325,797
60.2898085,944
60.3297845,1150
60.3697605,1461
60.4097365,1229
60.4497125,861
60.4896885,772
60.5296645,913
60.5696405,733
60.6096165,510
60.6495925,354
60.6895685,344
60.7295445,252
60.7695205,235
60.8094965,182
60.8494725,198
60.8894485,167
60.9294245,167
60.9694005,179
61.0093765,158
61.0493525,149
61.0893285,133
61.1293045,138
61.1692805,136
61.2092565,167
61.2492325,137
61.2892085,143
61.3291845,129
61.3691605,140
61.4091366,134
61.4491126,145
61.4890886,134
61.5290646,142
61.5690406,125
61.6090166,124
61.6489926,141
61.6889686,150
61.7289446,142
61.7689206,143
61.8088966,126
61.8488726,140
61.8888486,156
61.9288246,145
61.9688006,123
62.0087766,127
62.0487526,140
62.0887286,125
62.1287046,117
62.1686806,147
62.2086566,156
62.2486326,121
62.2886086,128
62.3285846,155
62.3685606,137
62.4085366,147
62.4485126,132
62.4884886,147
62.5284646,173
62.5684406,208
62.6084166,190
62.6483926,226
62.6883686,244
62.7283446,255
62.7683206,258
62.8082966,235
62.8482726,226
62.8882486,214
62.9282246,202
62.9682006,187
63.0081766,159
63.0481526,164
63.0881286,169
63.1281046,148
63.1680806,136
63.2080566,120
63.2480326,125
63.2880086,124
63.3279846,117
63.3679606,120
63.4079366,125
63.4479126,118
63.4878886,110
63.5278646,106
63.5678406,122
63.6078166,117
63.6477926,117
63.6877686,110
63.7277446,117
63.7677206,133
63.8076966,109
63.8476726,117
63.8876486,124
63.9276246,113
63.9676006,115
64.0075766,120
64.0475526,113
64.0875286,130
64.1275046,112
64.1674806,119
64.2074566,91
64.2474326,108
64.2874086,106
64.3273846,107
64.3673606,97
64.4073366,110
64.4473126,112
64.4872886,113
64.5272646,101
64.5672406,123
64.6072166,112
64.6471926,122
64.6871686,99
64.7271446,115
64.7671206,103
64.8070966,99
64.8470726,124
64.8870486,125
64.9270246,123
64.9670006,121
65.0069766,117
65.0469526,106
65.0869286,115
65.1269046,107
65.1668806,115
65.2068566,107
65.2468326,124
65.2868086,94
65.3267846,118
65.3667606,127
65.4067366,141
65.4467126,98
65.4866886,114
65.5266646,102
65.5666406,111
65.6066166,128
65.6465926,120
65.6865686,112
65.7265446,121
65.7665206,100
65.8064966,131
65.8464726,113
65.8864486,110
65.9264246,115
65.9664006,129
66.0063766,104
66.0463526,110
66.0863286,103
66.1263046,119
66.1662806,114
66.2062566,117
66.2462326,120
66.2862086,155
66.3261846,137
66.3661606,191
66.4061366,193
66.4461126,192
66.4860886,197
66.5260646,166
66.5660406,159
66.6060166,176
66.6459926,148
66.6859686,145
66.7259446,129
66.7659206,121
66.8058966,111
66.8458726,104
66.8858486,125
66.9258246,132
66.9658006,120
67.0057766,86
67.0457526,108
67.0857286,108
67.1257046,107
67.1656806,119
67.2056566,120
67.2456326,113
67.2856086,115
67.3255846,108
67.3655606,102
67.4055366,112
67.4455126,126
67.4854886,137
67.5254646,134
67.5654406,122
67.6054166,127
67.6453926,115
67.6853686,114
67.7253446,128
67.7653206,138
67.8052966,122
67.8452726,112
67.8852486,110
67.9252246,109
67.9652006,117
68.0051766,128
68.0451526,135
68.0851286,114
68.1251046,127
68.1650806,147
68.2050566,147
68.2450326,149
68.2850086,172
68.3249846,189
68.3649606,215
68.4049366,332
68.4449126,409
68.4848886,339
68.5248646,273
68.5648406,223
68.6048166,268
68.6447926,283
68.6847686,251
68.7247446,228
68.7647206,185
68.8046966,205
68.8446726,219
68.8846486,231
68.9246246,322
68.9646006,268
69.0045766,237
69.0445526,238
69.0845286,222
69.1245046,219
69.1644806,211
69.2044566,185
69.2444326,154
69.2844086,159
69.3243846,149
69.3643606,133
69.4043366,137
69.4443126,162
69.4842886,170
69.5242646,174
69.5642406,160
69.6042166,142
69.6441926,159
69.6841686,162
69.7241446,164
69.7641206,179
69.8040966,192
69.8440726,219
69.8840486,225
69.9240246,268
69.9640006,249
70.0039766,296
70.0439526,379
70.0839286,408
70.1239046,407
70.1638806,411
70.2038566,361
70.2438326,363
70.2838086,420
70.3237846,427
70.3637606,446
70.4037366,374
70.4437126,283
70.4836886,285
70.5236646,243
70.5636406,251
70.6036166,244
70.6435926,204
70.6835686,173
70.7235447,147
70.7635207,141
70.8034967,183
70.8434727,123
70.8834487,149
70.9234247,133
70.9634007,118
71.0033767,131
71.0433527,141
71.0833287,139
71.1233047,142
71.1632807,123
71.2032567,117
71.2432327,138
71.2832087,129
71.3231847,143
71.3631607,127
71.4031367,107
71.4431127,124
71.4830887,116
71.5230647,139
71.5630407,122
71.6030167,102
71.6429927,129
71.6829687,139
71.7229447,113
71.7629207,117
71.8028967,123
71.8428727,134
71.8828487,123
71.9228247,131
71.9628007,113
72.0027767,115
72.0427527,146
72.0827287,149
72.1227047,112
72.1626807,162
72.2026567,141
72.2426327,148
72.2826087,142
72.3225847,141
72.3625607,173
72.4025367,155
72.4425127,208
72.4824887,210
72.5224647,267
72.5624407,309
72.6024167,412
72.6423927,558
72.6823687,706
72.7223447,862
72.7623207,928
72.8022967,736
72.8422727,565
72.8822487,545
72.9222247,638
72.9622007,592
73.0021767,501
73.0421527,351
73.0821287,304
73.1221047,240
73.1620807,189
73.2020567,172
73.2420327,207
73.2820087,159
73.3219847,153
73.3619607,166
73.4019367,169
73.4419127,149
73.4818887,136
73.5218647,133
73.5618407,160
73.6018167,126
73.6417927,130
73.6817687,143
73.7217447,117
73.7617207,136
73.8016967,142
73.8416727,125
73.8816487,122
73.9216247,123
73.9616007,120
74.0015767,120
74.0415527,122
74.0815287,108
74.1215047,130
74.1614807,127
74.2014567,127
74.2414327,115
74.2814087,137
74.3213847,113
74.3613607,136
74.4013367,118
74.4413127,126
74.4812887,125
74.5212647,125
74.5612407,137
74.6012167,124
74.6411927,120
74.6811687,121
74.7211447,117
74.7611207,109
74.8010967,116
74.8410727,130
74.8810487,118
74.9210247,131
74.9610007,108
75.0009767,134
75.0409527,124
75.0809287,120
75.1209047,123
75.1608807,126
75.2008567,140
75.2408327,138
75.2808087,130
75.3207847,139
75.3607607,139
75.4007367,145
75.4407127,140
75.4806887,150
75.5206647,185
75.5606407,189
75.6006167,176
75.6405927,172
75.6805687,210
75.7205447,265
75.7605207,275
75.8004967,304
75.8404727,418
75.8804487,482
75.9204247,552
75.9604007,505
76.0003767,461
76.0403527,419
76.0803287,393
76.1203047,407
76.1602807,405
76.2002567,330
76.2402327,259
76.2802087,214
76.3201847,196
76.3601607,201
76.4001367,182
76.4401127,167
76.4800887,166
76.5200647,156
76.5600407,149
76.6000167,127
76.6399927,147
76.6799687,140
76.7199447,143
76.7599207,117
76.7998967,146
76.8398727,117
76.8798487,135
76.9198247,128
76.9598007,136
76.9997767,134
77.0397527,133
77.0797287,128
77.1197047,136
77.1596807,129
77.1996567,143
77.2396327,148
77.2796087,149
77.3195847,133
77.3595607,158
77.3995367,171
77.4395127,178
77.4794887,184
77.5194647,185
77.5594407,204
77.5994167,174
77.6393927,178
77.6793687,167
77.7193447,157
77.7593207,174
77.7992967,186
77.8392727,163
77.8792487,179
77.9192247,194
77.9592007,192
77.9991767,221
78.0391527,253
78.0791287,222
78.1191047,182
78.1590807,185
78.1990567,178
78.2390327,179
78.2790087,173
78.3189847,191
78.3589607,149
78.3989367,175
78.4389127,143
78.4788887,148
78.5188647,128
78.5588407,123
78.5988167,120
78.6387927,139
78.6787687,156
78.7187447,126
78.7587207,142
78.7986967,123
78.8386727,116
78.8786487,134
78.9186247,118
78.9586007,135
78.9985767,118
79.0385527,116
79.0785287,139
79.1185047,127
79.1584807,138
79.1984567,121
79.2384327,117
79.2784087,125
79.3183847,107
79.3583607,133
79.3983367,122
79.4383127,136
79.4782887,134
79.5182647,148
79.5582407,149
79.5982167,153
79.6381927,151
79.6781687,186
79.7181447,146
79.7581207,178
79.7980967,173
