Size (d.nm) - SiO2_NP_S3_2H [Steady state]	Intensity (Percent) - SiO2_NP_S3_2H [Steady state]	Size (d.nm) - SiO2_NP_S3_2H [Steady state]	Intensity (Percent) - SiO2_NP_S3_2H [Steady state]	Size (d.nm) - SiO2_NP_S3_2H [Steady state]	Intensity (Percent) - SiO2_NP_S3_2H [Steady state]
0.3	0	0.3	0	0.3	0
0.3489	0	0.3489	0	0.3489	0
0.4057	0	0.4057	0	0.4057	0
0.4718	0	0.4718	0	0.4718	0
0.5487	0	0.5487	0	0.5487	0
0.6381	0	0.6381	0	0.6381	0
0.742	0	0.742	0	0.742	0
0.8629	0	0.8629	0	0.8629	0
1.003	0	1.003	0	1.003	0
1.167	0	1.167	0	1.167	0
1.357	0	1.357	0	1.357	0
1.578	0	1.578	0	1.578	0
1.835	0	1.835	0	1.835	0
2.134	0	2.134	0	2.134	0
2.482	0	2.482	0	2.482	0
2.886	0	2.886	0	2.886	0
3.357	0	3.357	0	3.357	0
3.903	0	3.903	0	3.903	0
4.539	0	4.539	0	4.539	0
5.279	0	5.279	0	5.279	0
6.139	0	6.139	0	6.139	0
7.139	0	7.139	0	7.139	0
8.302	0	8.302	0	8.302	0
9.655	0	9.655	0	9.655	0
11.23	0	11.23	0	11.23	0
13.06	0	13.06	0	13.06	0
15.18	0	15.18	0	15.18	0
17.66	0	17.66	0	17.66	0
20.53	0	20.53	0	20.53	0
23.88	0	23.88	0	23.88	0
27.77	0	27.77	0	27.77	0
32.3	0	32.3	0	32.3	0
37.56	0	37.56	0	37.56	0
43.68	0	43.68	0	43.68	0
50.79	0	50.79	0	50.79	0
59.07	0	59.07	0	59.07	0
68.69	0	68.69	0	68.69	0
79.88	0	79.88	0	79.88	0
92.89	0	92.89	0	92.89	0
108	0	108	0	108	0
125.6	0	125.6	0	125.6	0
146.1	0	146.1	0	146.1	0
169.9	0	169.9	0	169.9	0
197.6	0	197.6	0	197.6	0
229.8	0	229.8	0	229.8	0
267.2	0	267.2	0	267.2	0
310.7	0	310.7	0	310.7	0
361.3	0	361.3	0	361.3	0
420.2	0	420.2	0	420.2	0
488.7	0	488.7	0	488.7	0
568.3	0	568.3	0	568.3	0
660.9	0	660.9	0	660.9	0
768.5	0.9321	768.5	0.964	768.5	1.64
893.8	3.234	893.8	3.543	893.8	5.993
1039	6.594	1039	7.157	1039	11.77
1209	10.25	1209	10.79	1209	16.78
1406	13.3	1406	13.51	1406	19.15
1635	15.03	1635	14.73	1635	18.07
1901	15.05	1901	14.3	1901	14.01
2211	13.38	2211	12.47	2211	8.503
2571	10.43	2571	9.729	2571	3.502
2990	6.912	2990	6.678	2990	0.5753
3477	3.608	3477	3.884	3477	0
4043	1.21	4043	1.759	4043	0
4702	0.07512	4702	0.4876	4702	0
5468	0	5468	0	5468	0
6358	0	6358	0	6358	0
7394	0	7394	0	7394	0
8599	0	8599	0	8599	0
1E+04	0	1E+04	0	1E+04	0
