Size (d.nm) - SiO2_NP_S5_24H [Steady state]	Intensity (Percent) - SiO2_NP_S5_24H [Steady state]	Size (d.nm) - SiO2_NP_S5_24H [Steady state]	Intensity (Percent) - SiO2_NP_S5_24H [Steady state]	Size (d.nm) - SiO2_NP_S5_24H [Steady state]	Intensity (Percent) - SiO2_NP_S5_24H [Steady state]
0.3	0	0.3	0	0.3	0
0.3489	0	0.3489	0	0.3489	0
0.4057	0	0.4057	0	0.4057	0
0.4718	0	0.4718	0	0.4718	0
0.5487	0	0.5487	0	0.5487	0
0.6381	0	0.6381	0	0.6381	0
0.742	0	0.742	0	0.742	0
0.8629	0	0.8629	0	0.8629	0
1.003	0	1.003	0	1.003	0
1.167	0	1.167	0	1.167	0
1.357	0	1.357	0	1.357	0
1.578	0	1.578	0	1.578	0
1.835	0	1.835	0	1.835	0
2.134	0	2.134	0	2.134	0
2.482	0	2.482	0	2.482	0
2.886	0	2.886	0	2.886	0
3.357	0	3.357	0	3.357	0
3.903	0	3.903	0	3.903	0
4.539	0	4.539	0	4.539	0
5.279	0	5.279	0	5.279	0
6.139	0	6.139	0	6.139	0
7.139	0	7.139	0	7.139	0
8.302	0	8.302	0	8.302	0
9.655	0	9.655	0	9.655	0
11.23	0	11.23	0	11.23	0
13.06	0	13.06	0	13.06	0
15.18	0	15.18	0	15.18	0
17.66	0	17.66	0	17.66	0
20.53	0	20.53	0	20.53	0
23.88	0	23.88	0	23.88	0
27.77	0	27.77	0	27.77	0
32.3	0	32.3	0	32.3	0
37.56	0	37.56	0	37.56	0
43.68	0	43.68	0	43.68	0
50.79	0	50.79	0	50.79	0
59.07	0	59.07	0	59.07	0
68.69	0	68.69	0	68.69	0
79.88	0	79.88	0	79.88	0
92.89	0	92.89	0	92.89	0
108	0	108	0	108	0
125.6	0	125.6	0	125.6	0
146.1	0	146.1	0	146.1	0
169.9	0	169.9	0	169.9	0
197.6	0	197.6	0.3152	197.6	1.282
229.8	3.128	229.8	3.894	229.8	4.883
267.2	9.859	267.2	9.838	267.2	9.835
310.7	17.1	310.7	15.74	310.7	14.47
361.3	21.41	361.3	19.3	361.3	17.3
420.2	20.92	420.2	19.26	420.2	17.51
488.7	15.97	488.7	15.78	488.7	15.11
568.3	8.862	568.3	10.22	568.3	10.9
660.9	2.762	660.9	4.653	660.9	6.166
768.5	0	768.5	1.007	768.5	2.296
893.8	0	893.8	0	893.8	0.246
1039	0	1039	0	1039	0
1209	0	1209	0	1209	0
1406	0	1406	0	1406	0
1635	0	1635	0	1635	0
1901	0	1901	0	1901	0
2211	0	2211	0	2211	0
2571	0	2571	0	2571	0
2990	0	2990	0	2990	0
3477	0	3477	0	3477	0
4043	0	4043	0	4043	0
4702	0	4702	0	4702	0
5468	0	5468	0	5468	0
6358	0	6358	0	6358	0
7394	0	7394	0	7394	0
8599	0	8599	0	8599	0
1E+04	0	1E+04	0	1E+04	0
