##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
103,44912	8,38355	95,1357	20	20
103,95097	8,43405	95,10877	20	20
104,45104	8,48455	95,07146	20	20
104,95183	8,53506	95,0399	20	20
105,43666	8,58556	95,0055	20	20
105,92749	8,63606	94,96961	20	20
106,44162	8,68657	94,93402	20	20
106,93845	8,73707	94,89657	20	20
107,43411	8,78757	94,86424	20	20
107,93606	8,83808	94,83268	20	20
108,44155	8,88858	94,79576	20	20
108,92357	8,93908	94,75862	20	20
109,4322	8,98959	94,73404	20	20
109,93894	9,04009	94,69919	20	20
110,42307	9,09059	94,66955	20	20
110,92108	9,1411	94,63368	20	20
111,4253	9,1916	94,60167	20	20
111,92642	9,2421	94,57123	20	20
112,428	9,29261	94,5394	20	20
112,93292	9,34311	94,50433	20	20
113,43598	9,39361	94,48209	20	20
113,9358	9,44412	94,45759	20	20
114,43246	9,49462	94,43001	20	20
114,93462	9,54512	94,40207	20	20
115,45442	9,59563	94,36511	20	20
115,94962	9,64613	94,34234	20	20
116,44607	9,69663	94,30937	20	20
116,93194	9,74714	94,28948	20	20
117,43359	9,79764	94,25826	20	20
117,93564	9,84814	94,2416	20	20
118,43651	9,89865	94,22002	20	20
118,94878	9,94915	94,19919	20	20
119,45466	9,99965	94,17025	20	20
119,95961	10,05016	94,15133	20	20
120,45946	10,10066	94,12914	20	20
120,96871	10,15116	94,1096	20	20
121,46845	10,20167	94,08971	20	20
121,96194	10,25217	94,0745	20	20
122,47635	10,30267	94,0586	20	20
122,97238	10,35318	94,03248	20	20
123,48211	10,40368	94,02598	20	20
123,98471	10,45418	94,00965	20	20
124,49003	10,50469	93,99436	20	20
124,99489	10,55519	93,97499	20	20
125,4942	10,60569	93,95564	20	20
126,00518	10,6562	93,93976	20	20
126,5196	10,7067	93,9193	20	20
127,02288	10,7572	93,91122	20	20
127,52252	10,80771	93,8922	20	20
128,02992	10,85821	93,88238	20	20
128,54435	10,90871	93,86949	20	20
129,05004	10,95922	93,85506	20	20
129,56402	11,00972	93,83795	20	20
130,06659	11,06022	93,83449	20	20
130,57694	11,11073	93,83285	20	20
131,07	11,16123	93,82353	20	20
131,59332	11,21173	93,80766	20	20
132,11039	11,26224	93,79115	20	20
132,62197	11,31274	93,77915	20	20
133,12389	11,36324	93,76149	20	20
133,63352	11,41375	93,75517	20	20
134,15087	11,46425	93,74942	20	20
134,6516	11,51475	93,7388	20	20
135,17129	11,56526	93,72902	20	20
135,68439	11,61576	93,72065	20	20
136,19982	11,66626	93,71063	20	20
136,6994	11,71677	93,70001	20	20
137,21665	11,76727	93,69166	20	20
137,72176	11,81777	93,68092	20	20
138,23477	11,86828	93,66116	20	20
138,7535	11,91878	93,65371	20	20
139,25468	11,96928	93,64463	20	20
139,76893	12,01979	93,63475	20	20
140,29785	12,07029	93,62482	20	20
140,78611	12,12079	93,6182	20	20
141,29035	12,1713	93,60995	20	20
141,79417	12,2218	93,60243	20	20
142,30907	12,2723	93,59227	20	20
142,83691	12,32281	93,57791	20	20
143,32526	12,37331	93,57281	20	20
143,83649	12,42381	93,56329	20	20
144,36009	12,47432	93,55916	20	20
144,86885	12,52482	93,55273	20	20
145,36684	12,57532	93,54621	20	20
145,88823	12,62583	93,54071	20	20
146,39543	12,67633	93,52634	20	20
146,91502	12,72683	93,51893	20	20
147,42692	12,77733	93,51379	20	20
147,92665	12,82784	93,50798	20	20
148,43302	12,87834	93,5008	20	20
148,95107	12,92884	93,49239	20	20
149,45296	12,97935	93,48494	20	20
149,96235	13,02985	93,47584	20	20
150,45808	13,08035	93,46342	20	20
150,96625	13,13086	93,44864	20	20
151,47077	13,18136	93,4454	20	20
151,9825	13,23186	93,43962	20	20
152,49552	13,28237	93,43287	20	20
153,00707	13,33287	93,4254	20	20
153,51121	13,38337	93,41903	20	20
154,01335	13,43388	93,4165	20	20
154,5174	13,48438	93,41219	20	20
155,0324	13,53488	93,40394	20	20
155,54413	13,58539	93,39463	20	20
156,04214	13,63589	93,38996	20	20
156,54762	13,68639	93,38431	20	20
157,05275	13,7369	93,37958	20	20
157,55595	13,7874	93,37615	20	20
158,07301	13,8379	93,37136	20	20
158,57073	13,88841	93,36466	20	20
159,07138	13,93891	93,36049	20	20
159,56914	13,98941	93,35631	20	20
160,07111	14,03992	93,35299	20	20
160,58676	14,09042	93,34883	20	20
161,07711	14,14092	93,34458	20	20
161,58239	14,19143	93,33217	20	20
162,08629	14,24193	93,32337	20	20
162,59849	14,29243	93,32106	20	20
163,09402	14,34294	93,31915	20	20
163,60138	14,39344	93,31413	20	20
164,10593	14,44394	93,30929	20	20
164,60295	14,49445	93,30505	20	20
165,10312	14,54495	93,30181	20	20
165,61909	14,59545	93,29678	20	20
166,11845	14,64596	93,29272	20	20
166,62159	14,69646	93,28904	20	20
167,13655	14,74696	93,28829	20	20
167,64336	14,79747	93,28838	20	20
168,1431	14,84797	93,28597	20	20
168,64864	14,89847	93,28202	20	20
169,13508	14,94898	93,27771	20	20
169,65004	14,99948	93,2744	20	20
170,14684	15,04998	93,27192	20	20
170,64501	15,10049	93,26947	20	20
171,1591	15,15099	93,26864	20	20
171,66284	15,20149	93,26867	20	20
172,14743	15,252	93,26693	20	20
172,65718	15,3025	93,26438	20	20
173,16567	15,353	93,26206	20	20
173,66117	15,40351	93,25918	20	20
174,1751	15,45401	93,25427	20	20
174,67517	15,50451	93,25144	20	20
175,17321	15,55502	93,24346	20	20
175,69381	15,60552	93,23771	20	20
176,19125	15,65602	93,23333	20	20
176,6819	15,70653	93,2286	20	20
177,18402	15,75703	93,21928	20	20
177,69872	15,80753	93,21175	20	20
178,20292	15,85804	93,20428	20	20
178,70783	15,90854	93,19757	20	20
179,21388	15,95904	93,19335	20	20
179,71018	16,00955	93,18757	20	20
180,22143	16,06005	93,18347	20	20
180,7276	16,11055	93,18016	20	20
181,23796	16,16106	93,17684	20	20
181,73658	16,21156	93,1735	20	20
182,23848	16,26206	93,1702	20	20
