##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
329,809	31,00976	85,23735	20	20
331,809	31,20947	85,00667	20	20
333,809	31,40883	84,76384	20	20
335,809	31,60762	84,55053	20	20
337,809	31,80709	84,30608	20	20
339,809	32,00663	84,06972	20	20
341,809	32,20645	83,84606	20	20
343,809	32,40614	83,63902	20	20
345,809	32,6051	83,41769	20	20
347,809	32,80529	83,17173	20	20
349,809	33,00512	82,95347	20	20
351,809	33,20503	82,719	20	20
353,809	33,40511	82,46498	20	20
355,809	33,60511	82,24512	20	20
357,809	33,80494	82,0484	20	20
359,809	34,0046	81,82333	20	20
361,809	34,20503	81,55781	20	20
363,809	34,40559	81,3628	20	20
365,809	34,60546	81,15384	20	20
367,809	34,80594	80,91878	20	20
369,809	35,00553	80,71003	20	20
371,809	35,20558	80,51205	20	20
373,809	35,40576	80,28182	20	20
375,809	35,6057	80,06933	20	20
377,809	35,80563	79,78585	20	20
379,809	36,0059	79,58429	20	20
381,809	36,20563	79,34427	20	20
383,809	36,40547	79,11568	20	20
385,809	36,60573	78,84026	20	20
387,809	36,80578	78,5912	20	20
389,809	37,00561	78,32614	20	20
391,809	37,20616	78,04385	20	20
393,809	37,40526	77,75788	20	20
395,809	37,60479	77,47876	20	20
397,809	37,8046	77,20887	20	20
399,809	38,00523	76,90142	20	20
401,809	38,20537	76,61409	20	20
403,809	38,40518	76,32324	20	20
405,809	38,60582	76,03166	20	20
407,809	38,80467	75,74914	20	20
409,809	39,00486	75,44836	20	20
411,809	39,20537	75,14146	20	20
413,809	39,40647	74,82388	20	20
415,809	39,60708	74,53554	20	20
417,809	39,80894	74,235	20	20
419,809	40,0096	73,93269	20	20
421,809	40,21024	73,63263	20	20
423,809	40,4093	73,36308	20	20
425,809	40,60874	73,05086	20	20
427,809	40,80787	72,79161	20	20
429,809	41,00746	72,52036	20	20
431,809	41,20796	72,20607	20	20
433,809	41,40751	71,9086	20	20
435,809	41,60704	71,56354	20	20
437,809	41,80621	71,0843	20	20
439,809	42,00662	70,64478	20	20
441,809	42,2087	70,23597	20	20
443,809	42,41198	69,85019	20	20
445,809	42,61519	69,51313	20	20
447,809	42,81801	69,28027	20	20
449,809	43,0195	69,07216	20	20
451,809	43,21941	68,84509	20	20
453,809	43,41916	68,66392	20	20
455,809	43,61837	68,49381	20	20
457,809	43,81656	68,32883	20	20
459,809	44,01499	68,18492	20	20
461,809	44,21455	68,07673	20	20
463,809	44,41389	67,96832	20	20
465,809	44,61359	67,87538	20	20
467,809	44,81348	67,80395	20	20
469,809	45,01359	67,73718	20	20
471,809	45,21433	67,68021	20	20
473,809	45,41598	67,6441	20	20
475,809	45,61903	67,63243	20	20
477,809	45,82206	67,61969	20	20
479,809	46,02506	67,65069	20	20
481,809	46,22726	67,70489	20	20
483,809	46,42962	67,82583	20	20
485,809	46,63027	67,98403	20	20
487,809	46,83047	68,16926	20	20
489,809	47,03138	68,38661	20	20
491,809	47,23243	68,63135	20	20
493,809	47,43501	68,80121	20	20
495,809	47,6396	68,91946	20	20
497,809	47,84354	69,03262	20	20
499,809	48,04604	69,12973	20	20
501,809	48,24745	69,18359	20	20
503,809	48,44658	69,2334	20	20
505,809	48,64283	69,27085	20	20
507,809	48,83729	69,27752	20	20
509,809	49,03095	69,28466	20	20
511,809	49,22397	69,29435	20	20
513,809	49,41785	69,3042	20	20
515,809	49,61198	69,30838	20	20
517,809	49,80771	69,30759	20	20
519,809	50,0049	69,30759	20	20
521,809	50,20389	69,31622	20	20
523,809	50,4034	69,32129	20	20
525,809	50,60403	69,32665	20	20
527,809	50,80521	69,33054	20	20
529,809	51,00637	69,33501	20	20
531,809	51,20804	69,3376	20	20
533,809	51,40915	69,33217	20	20
535,809	51,60974	69,33842	20	20
537,809	51,80987	69,35349	20	20
539,809	52,00962	69,36135	20	20
541,809	52,20931	69,37168	20	20
543,809	52,40855	69,37321	20	20
545,809	52,6078	69,37629	20	20
547,809	52,8066	69,37722	20	20
549,809	53,00576	69,37881	20	20
551,809	53,20517	69,3804	20	20
553,809	53,40461	69,38154	20	20
555,809	53,60427	69,38355	20	20
557,809	53,80361	69,3862	20	20
559,809	54,0045	69,38757	20	20
561,809	54,20503	69,38197	20	20
563,809	54,4061	69,38272	20	20
565,809	54,60705	69,38199	20	20
567,809	54,80852	69,38192	20	20
569,809	55,00913	69,38197	20	20
571,809	55,20936	69,38117	20	20
573,809	55,40848	69,37961	20	20
575,809	55,60828	69,37881	20	20
577,809	55,80782	69,39144	20	20
579,809	56,0072	69,39463	20	20
581,809	56,20596	69,39384	20	20
583,809	56,40555	69,39272	20	20
585,809	56,60522	69,37681	20	20
587,809	56,80464	69,37175	20	20
589,809	57,0042	69,36604	20	20
591,809	57,20359	69,36219	20	20
593,809	57,40315	69,3614	20	20
595,809	57,60306	69,36061	20	20
597,809	57,80327	69,35982	20	20
599,809	58,00325	69,35903	20	20
601,809	58,20358	69,35903	20	20
